ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE
Confidence Monitor,Video - Confidence Monitor.jpeg,,,,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
LED Wall,Video - LED Wall.png,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Projection Screen,Video - Projection Screen.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Projector,Video - Projectors.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
TV Stand,Video - TV  Stand.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
,,-,-,-,,
,,-,-,-,,
,,-,-,-,,
,,-,-,-,,
