ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE
CO2 Cannon,FX - CO2 Cannon.jpeg,-,-,-,-,"Corporate, Gala, Festival, Wedding, Social, Concert, Outdoor"
CO2 Gun,FX - CO2 Gun.jpeg,-,-,-,-,"Gala, Wedding, Festival, Social, Concert"
Cold Spark,FX - Cold Spark.jpeg,-,-,-,-,"Gala, Wedding, Festival, Social, Concert"
Confetti Cannon,FX - Confetti Cannon.jpeg,-,-,-,-,"Gala, Wedding, Festival, Social, Concert"
Dry Ice,FX - Dry Ice.jpeg,-,-,-,-,"Gala, Wedding, Festival, Social, Concert"
Foam Cannon,FX - Foam Cannon.jpeg,-,-,-,-,"Festival, Social, Concert"
Fog Haze,FX - Fog Haze.jpeg,-,-,-,-,"Gala, Wedding, Festival, Social, Concert"
