ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE,Unnamed: 7,Unnamed: 8
Chest Freezer,FB - Chest Freezer.jpeg,,White,,,"Festival, Concert, Wedding, Social, Outdoor",,Corporate
Dual door Fridge,FB - Dual Door Fridge.jpeg,,,,,"Festival, Concert, Wedding, Social, Outdoor",,Gala
Large Ice Tub,FB - Large Ice Tub.jpeg,,,,,"Festival, Concert, Social, Outdoor",,Festival
Portable Ice Tub,FB - Portable Ice Tub.jpeg,,,,,"Festival, Concert, Social, Outdoor",,Wedding
Propane Grill,FB - Propane Grill.jpeg,,,,,"Social, Outdoor",,Concert
Red Bull Fridge,FB - Red Bull Fridge.jpeg,,,,,"Festival, Concert, Wedding, Social",,Social
,,,,,,,,Outdoor
