ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE,Unnamed: 7,Unnamed: 8
Decor Lighting,Lighting - Edison.png,-,-,-,,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor",,Corporate
Intelligent Lighting,Lighting - Intelligent.jpeg,-,-,-,,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor",,Gala
Laser Lights,Lighting - Laser.jpeg,-,-,-,,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor",,Festival
Portable LED Lights,Lighting - LED Battery.png,-,-,-,,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor",,Wedding
LED Uplights,Lighting - LED Uplight.jpeg,-,-,-,,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor",,Concert
LED Wash Lights,Lighting - LED Wash.jpeg,-,-,-,,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor",,Social
Spot Lighting,Lighting - Spot.jpeg,-,-,-,,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor",,Outdoor
Texture Lighting,Lighting - Texture Lighting.jpeg,-,-,-,,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor",,
