ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE
Analog Mixer,Audio - Analog Mixer.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Digital Mixer,Audio - Digital Mixer.png,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Wireless Mics.jpeg,Audio - Wireless Mics.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Concert PA,Speaker - PA Stack.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
All in One Speakers,Speakers - AllinOne.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Speaker Array,Speakers - Array.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Stacked Speaker Array,Speakers - Line Array Stack.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Satellite Speakers,Speakers - Satellite.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
